episode,air_date,title,region,detail_url
123,2021-10-01,가을 서해의 물오른 맛! 보령 밥상,충청남도 보령시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/579062.cstv?search_text=
129,2021-11-12,맛의 대전! 대한민국 중심 대전 밥상,대전광역시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/587935.cstv?search_text=
132,2021-12-03,대통령 후보 대선 밥상,,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/600504.cstv?search_text=
134,2021-12-17,남도의 겨울이어라~ 산해진미 장흥 밥상,전라남도 장흥군,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/604249.cstv?search_text=
136,2022-01-06,향기롭고 은혜롭다~!? 강릉 겨울 밥상,강원특별자치도 강릉시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/610240.cstv?search_text=
148,2022-04-15,봄 바다의 맛! 고성 밥상,강원특별자치도 고성군,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/626147.cstv?search_text=
150,2022-04-29,물올랐다! 충남 공주 밥상,충청남도 공주시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/626903.cstv?search_text=
157,2022-06-24,맛은 살아있다! 서울 마포&서대문 밥상,서울특별시 서대문구,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/629893.cstv?search_text=
162,2022-07-29,피서의 맛! 소요산 계곡 밥상,,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/631820.cstv?search_text=
165,2022-08-19,그 맛이 알고 싶다! 상암 방송家 밥상,,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/632836.cstv?search_text=
166,2022-08-26,맛의 비단 물결~ 금강 밥상,,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/633191.cstv?search_text=
168,2022-09-09,한가위 넉넉하여라! 추석 특집 경복궁 밥상,,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/633892.cstv?search_text=
169,2022-09-16,오지고 차지다! 화천 자연 밥상,강원특별자치도 화천군,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/634324.cstv?search_text=
170,2022-09-30,빛난다! 맛고을 광주 밥상,광주광역시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/635145.cstv?search_text=
171,2022-10-07,맛도 너르다! 대전 밥상,대전광역시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/635581.cstv?search_text=
179,2022-12-09,맛의 부촌! 청담동 밥상,,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/640033.cstv?search_text=
180,2022-12-16,겨울 바다를 맛보령~ 보령 서해 밥상,충청남도 보령시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/640466.cstv?search_text=
181,2022-12-23,선물 같은 맛! 우리 한우 밥상,,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/641005.cstv?search_text=
182,2022-12-30,봉주르! 종로 앙상블 밥상,서울특별시 종로구,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/641498.cstv?search_text=
184,2023-01-13,맛의 고공비행! 김포 금빛 밥상,경기도 김포시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/642692.cstv?search_text=
192,2023-03-10,피지컬 100% 맛! 추성훈의 신사동 고기 밥상,,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/648957.cstv?search_text=
198,2023-04-28,천생연분의 맛! 남양주 나들이 밥상,경기도 남양주시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/653011.cstv?search_text=
199,2023-05-05,맛의 엄지척! 대구 달서구 밥상,대구광역시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/653318.cstv?search_text=
203,2023-06-09,맛의 정치학! 이태원 글로벌 밥상,,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/655700.cstv?search_text=
204,2023-06-23,맛의 물길~ 김천 진미 밥상,경상북도 김천시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/656684.cstv?search_text=
205,2023-06-30,꿈엔들 잊힐리야 옥천 금강 밥상,충청북도 옥천군,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/657264.cstv?search_text=
227,2023-12-22,따뜻하다! 성탄 나눔 밥상,,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/667608.cstv?search_text=
231,2024-01-19,겨울방학 특집! 양주 나들이 밥상 2,경기도 양주시,https://broadcast.tvchosun.com/broadcast/program/3/C201900033/bbs/8667/C201900033_10/669203.cstv?search_text=
